[2013-11-09 22:41:50] EDIT BookSharing/views/default/register.html: 9
[2013-11-09 22:42:16] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 22:42:38] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 22:43:18] EDIT BookSharing/views/default/register.html: 1
[2013-11-09 22:44:04] EDIT BookSharing/views/default/register.html: 2
[2013-11-09 22:46:00] EDIT BookSharing/views/default/register.html: 2
[2013-11-09 22:46:17] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 22:55:31] EDIT BookSharing/controllers/default.py: -5
[2013-11-09 22:55:57] EDIT BookSharing/controllers/default.py: 5
[2013-11-09 22:57:08] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:02:23] EDIT BookSharing/controllers/default.py: 3
[2013-11-09 23:02:32] EDIT BookSharing/controllers/default.py: 1
[2013-11-09 23:02:38] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:04:25] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:05:33] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:07:37] EDIT BookSharing/controllers/default.py: 1
[2013-11-09 23:07:51] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 23:09:42] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:09:57] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 23:14:41] EDIT BookSharing/views/layout.html: 3
[2013-11-09 23:15:12] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:15:32] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:15:51] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:16:11] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:16:45] EDIT BookSharing/controllers/default.py: 2
[2013-11-09 23:17:39] EDIT BookSharing/controllers/default.py: 1
[2013-11-09 23:18:30] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:18:59] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:20:08] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:20:31] EDIT BookSharing/controllers/default.py: 1
[2013-11-09 23:22:27] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:23:01] EDIT BookSharing/views/default/home.html: 0
[2013-11-09 23:23:19] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:30:46] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 23:31:16] EDIT BookSharing/models/db.py: 1
[2013-11-09 23:31:44] EDIT BookSharing/models/db.py: 0
[2013-11-09 23:35:56] EDIT BookSharing/views/default/register.html: 4
[2013-11-09 23:36:25] EDIT BookSharing/views/default/register.html: 1
[2013-11-09 23:36:28] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 23:37:00] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 23:37:48] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 23:38:36] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 23:39:14] EDIT BookSharing/views/default/register.html: 1
[2013-11-09 23:39:30] EDIT BookSharing/views/default/register.html: 0
[2013-11-09 23:46:46] EDIT BookSharing/views/layout.html: -1
[2013-11-09 23:47:21] EDIT BookSharing/views/layout.html: 1
[2013-11-09 23:48:33] EDIT BookSharing/views/layout.html: 1
[2013-11-09 23:49:37] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:50:26] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:50:46] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:52:24] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:52:49] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:53:46] EDIT BookSharing/views/layout.html: -1
[2013-11-09 23:54:11] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:55:20] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:56:30] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:56:34] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:56:48] EDIT BookSharing/views/layout.html: 0
[2013-11-09 23:59:25] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:06:58] EDIT BookSharing/models/db.py: 0
[2013-11-10 00:07:27] EDIT BookSharing/controllers/default.py: 4
[2013-11-10 00:07:40] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:08:57] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:16:01] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:17:38] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:18:14] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:19:43] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:22:31] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:25:25] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 00:26:15] EDIT BookSharing/views/default/register.html: 0
[2013-11-10 00:26:22] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:27:07] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:27:56] EDIT BookSharing/views/default/register.html: 0
[2013-11-10 00:30:24] EDIT BookSharing/controllers/default.py: 2
[2013-11-10 00:30:39] EDIT BookSharing/views/default/status.html: 0
[2013-11-10 00:32:26] EDIT BookSharing/controllers/default.py: 2
[2013-11-10 00:36:38] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:38:39] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 00:39:00] EDIT BookSharing/controllers/default.py: 2
[2013-11-10 00:41:02] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 00:43:52] EDIT BookSharing/views/default/home.html: 1
[2013-11-10 00:45:09] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 00:46:21] EDIT BookSharing/controllers/default.py: -1
[2013-11-10 00:47:03] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 00:47:21] EDIT BookSharing/views/default/home.html: -1
[2013-11-10 00:47:30] EDIT BookSharing/views/default/home.html: 1
[2013-11-10 00:47:53] EDIT BookSharing/views/default/home.html: -1
[2013-11-10 00:48:25] EDIT BookSharing/views/default/home.html: -2
[2013-11-10 00:49:20] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 11:37:56] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 11:40:27] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 11:42:09] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 11:46:45] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 11:47:57] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 11:49:27] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 11:50:01] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:00:21] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:01:03] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:03:00] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 12:03:42] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:04:33] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 12:09:17] EDIT BookSharing/models/db.py: 0
[2013-11-10 12:09:48] EDIT BookSharing/models/db.py: 0
[2013-11-10 12:10:34] EDIT BookSharing/models/db.py: 0
[2013-11-10 12:10:52] EDIT BookSharing/models/db.py: 0
[2013-11-10 12:10:57] EDIT BookSharing/models/db.py: 0
[2013-11-10 12:12:07] EDIT BookSharing/models/db.py: 0
[2013-11-10 12:13:18] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:13:35] EDIT BookSharing/views/default/home.html: 1
[2013-11-10 12:14:08] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 12:14:40] EDIT BookSharing/controllers/default.py: 0
[2013-11-10 12:14:52] EDIT BookSharing/views/default/home.html: 0
[2013-11-10 12:15:27] EDIT BookSharing/views/default/home.html: 1
[2013-11-10 12:16:24] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 12:17:39] EDIT BookSharing/controllers/default.py: -1
[2013-11-10 12:42:19] EDIT BookSharing/controllers/default.py: 1
[2013-11-10 12:44:34] EDIT BookSharing/controllers/default.py: -1
